creationID,index,url,shopID,shopName,pPrice,pSalePrice,pID,pName,pCategory,position,creation name,template id,template name,created date,clicks,views,ctr
102423,0,https://dom.wp.pl/jak-skutecznie-walczyc-z-owadami-tak-zapewnisz-sobie-spokoj-6789677814610688a,1421,MEDIA_EXPERT_CDC_X_2020,"['129.99', '79.99', '99.99']","['0.0', '69.99', '0.0']","['183983', '309297', '164440']","['Lampa owadobójcza NOVEEN IKN18', 'Lampa owadobójcza NOVEEN IKN863 LED', 'Lampa owadobójcza NOVEEN IKN7']","['Lampy owadobójcze', 'Lampy owadobójcze', 'Lampy owadobójcze']",0,Lampy owadobójcze ; 1 ; Media Expert ; CDC,512,NOWY - CDC szablon 3 produktowy - redakcja,2022-07-12,1150,171090,0.006721608510140861
102424,1,https://dom.wp.pl/jak-skutecznie-walczyc-z-owadami-tak-zapewnisz-sobie-spokoj-6789677814610688a,1421,MEDIA_EXPERT_CDC_X_2020,"['319.0', '139.0', '269.99']","['0.0', '109.99', '0.0']","['310792', '314646', '412518']","['Lampa owadobójcza NOVEEN IKN45', 'Lampa owadobójcza NOVEEN IKN20 Czarny', 'Lampa owadobójcza NOVEEN IKN931 Biały']","['Lampy owadobójcze', 'Lampy owadobójcze', 'Lampy owadobójcze']",1,Lampy owadobójcze ; 2 ; Media Expert ; CDC,512,NOWY - CDC szablon 3 produktowy - redakcja,2022-07-12,1135,171096,0.006633702716603544
102425,2,https://dom.wp.pl/jak-skutecznie-walczyc-z-owadami-tak-zapewnisz-sobie-spokoj-6789677814610688a,1421,MEDIA_EXPERT_CDC_X_2020,"['66.11', '96.72', '229.99']","['58.19', '0.0', '179.0']","['312407', '412513', '412519']","['Lampa owadobójcza BASEUS ACMWD-ZX02', 'Lampa owadobójcza NOVEEN IKN895', 'Lampa owadobójcza NOVEEN IKN950 LED Decorative Biały']","['Lampy owadobójcze', 'Lampy owadobójcze', 'Lampy owadobójcze']",2,Lampy owadobójcze ; 3 ; Media Expert ; CDC,512,NOWY - CDC szablon 3 produktowy - redakcja,2022-07-12,2538,171099,0.014833517437273158
102345,3,https://dom.wp.pl/koniec-z-brzydkim-zapachem-po-gotowaniu-male-urzadzenie-duza-ulga-6786842684893728a,1421,MEDIA_EXPERT_CDC_X_2020,"['399.0', '529.99', '339.99']","['364.0', '499.0', '289.99']","['455756', '390417', '893854']","['Okap ELECTROLUX LFP216S', 'Okap AMICA OMP6253BG', 'Okap VDB Slim PL 60 Inox']","['Okapy', 'Okapy', 'Okapy']",0,Okapy ; 1 ; Media Expert ; CDC,512,NOWY - CDC szablon 3 produktowy - redakcja,2022-07-04,569,51790,0.010986676964664993
